Date,Open,High,Low,Close,Volume
2005-02-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-02-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-03-31,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-04-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-05-31,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-06-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-07-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-08-31,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-09-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-10-31,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-11,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-11-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-26,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-29,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2005-12-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-04,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-05,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-12,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-18,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-19,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-25,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-30,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-01-31,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-13,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-14,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-15,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-16,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-17,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-20,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-21,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-22,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-23,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-24,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-27,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-02-28,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-01,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-02,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-03,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-06,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-07,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-08,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-09,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
2006-03-10,2.2256226539611816,2.2256226539611816,2.2256226539611816,2.2256226539611816,0.0
