Date,Open,High,Low,Close,Volume
2005-03-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-03-31,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-04-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-05-31,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-06-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-07-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-08-31,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-09-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-10-31,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-11,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-11-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-26,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2005-12-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-04,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-05,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-12,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-18,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-19,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-25,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-01-31,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-15,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-02-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-01,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-02,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-03,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-06,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-07,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-08,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-09,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-10,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-13,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-14,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-16,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-17,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-20,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-21,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-22,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-23,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-24,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-27,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-28,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-29,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
2006-03-30,0.5222600102424622,0.5222600102424622,0.5222600102424622,0.5222600102424622,0
